utm_x_radar,utm_y_radar,r,alpha,az
1020,1985,0.9443402369606992,8.297933532480583,30
1020,1985,1.9245585476446212,1.713743009353787,30
1020,1985,2.939543644502589,-7.41412955701915,30
1020,1985,3.701218099711062,-13.310901455728049,30
1020,1985,4.590857806320908,-20.89417184719117,30
1020,1985,5.510964612822758,-27.04277517384683,30
1020,1985,6.559270987095589,-30.902051344228894,30
1020,1985,7.531268178737386,-34.444394885664025,30
1020,1985,8.580093961615994,-38.32564652024727,30
1020,1985,9.398339106830427,-43.668033181860665,30
1020,1985,10.418663267686927,-47.578003421197096,30
1020,1985,11.041358467483157,-49.36894884426842,30
1020,1985,11.821098212124229,-50.42846006217086,30
1020,1985,12.61696220931804,-51.21991903769726,30
1020,1985,13.31681822416602,-51.31056294310091,30
1020,1985,14.520535516282166,-51.49068183407907,30
1020,1985,15.39474342601616,-51.66173866535012,30
1020,1985,16.695356596146826,-51.75818626644575,30
1020,1985,17.902723940943076,-51.00412778715711,30
1020,1985,18.94366779910115,-50.629834308249904,30
1020,1985,19.7747840271195,-50.51199293514955,30
1020,1985,20.56711824149405,-50.46329170557782,30
1020,1985,21.781556140144808,-50.82174776219711,30
1020,1985,22.672083736487025,-51.06817110903224,30
1020,1985,23.481682803588463,-50.73657914480479,30
1020,1985,24.46227498127477,-50.625422533293374,30
1020,1985,25.248684825908043,-50.732956431905,30
1020,1985,26.4649573852249,-50.52035388254304,30
1020,1985,27.936116327456265,-50.370290255805976,30
1020,1985,28.69412393066036,-49.93971737357291,30
1020,1985,29.704858082926798,-49.65110544080155,30
1020,1985,30.71521552651865,-49.023405913856415,30
1020,1985,31.50884162479595,-48.41746964312662,30
1020,1985,32.4244149932,-47.71795323853853,30
1020,1985,33.6176278769323,-47.46744806581578,30
1020,1985,34.54754786887943,-46.74148668160465,30
1020,1985,35.41259723380595,-45.95800354906906,30
1020,1985,36.46326944747615,-44.78840194758391,30
1020,1985,37.419152276174366,-43.503518459206056,30
1020,1985,38.22818252885096,-42.5538997051158,30
1020,1985,38.864422458439954,-41.85681736125661,30
1020,1985,39.87699805413888,-41.111517607768334,30
1020,1985,40.69596528522102,-40.718582189347245,30
1020,1985,41.3769683818279,-40.37432906322879,30
1020,1985,42.02867205942604,-40.24636391704854,30
1020,1985,42.935905649248014,-40.03256178043659,30
1020,1985,44.16073607453595,-39.295807270259,30
1020,1985,45.07116781622384,-38.980781463174615,30
1020,1985,46.04385044699095,-38.29357524673884,30
1020,1985,46.87733752637215,-37.543464042681954,30
1020,1985,47.592887599691,-36.90417843657539,30
1020,1985,48.23225705829056,-36.25526992167745,30
1020,1985,49.05959291096438,-35.47562309750759,30
1020,1985,49.32810660253402,-34.44109892463468,30
1020,1985,49.42403100731013,-33.21531744166313,30
1020,1985,49.58913013021792,-31.96536619126922,30
1020,1985,49.42682870193709,-30.931709303309123,30
1020,1985,49.31668073610525,-29.8697399246536,30
1020,1985,49.19801875349632,-28.353453482357807,30
1020,1985,48.77263931329654,-26.7295211605166,30
1020,1985,48.47094633336455,-25.53459538089705,30
1020,1985,48.29906372942538,-24.43051919183794,30
1020,1985,47.782830563484005,-23.54439678395508,30
1020,1985,47.3690389621882,-22.935293858657747,30
1020,1985,46.789743280115374,-22.1329592564598,30
1020,1985,46.27765857670952,-21.634938829704573,30
1020,1985,45.81535076518306,-21.07367939389615,30
1020,1985,45.23018457379299,-20.84551935930202,30
1020,1985,44.09434955450248,-21.192439618006382,30
1020,1985,43.23533357440286,-21.457258790494773,30
1020,1985,42.06942836980248,-21.909262819974003,30
1020,1985,40.88939460711904,-22.531921045135014,30
1020,1985,40.08987498624949,-23.170961424405903,30
1020,1985,39.34451487648369,-23.855835348066957,30
1020,1985,38.186796649106284,-24.505262936274157,30
1020,1985,37.28138524125199,-24.88207575836668,30
1020,1985,36.31631421664433,-25.78531878442473,30
1020,1985,35.261000008654804,-26.652812493926728,30
1020,1985,34.37208600286178,-27.31039008088104,30
1020,1985,33.34650973770867,-28.326833654146142,30
1020,1985,32.44618639311215,-29.05404347205885,30
1020,1985,31.743339898717995,-29.51701538852651,30
1020,1985,30.74766737698889,-30.14055361042227,30
1020,1985,29.82931777155185,-30.794449185000527,30
1020,1985,29.052818971789115,-31.251757343923146,30
1020,1985,28.034291482279347,-31.68164028442624,30
1020,1985,27.00726302890812,-32.852280455566,30
1020,1985,26.149065485755177,-34.296967699002664,30
1020,1985,25.587322293023757,-35.55867395589613,30
1020,1985,24.978591469067307,-36.98657201169982,30
1020,1985,24.20623480168091,-38.52069976275971,30
1020,1985,23.574214370021267,-39.96470400870384,30
1020,1985,22.90956308497953,-41.52046433332083,30
1020,1985,22.17770491883969,-43.59596603488077,30
1020,1985,21.557239192456823,-45.93559447544723,30
1020,1985,21.07569575127978,-48.49162579960535,30
1020,1985,20.85843301557293,-50.39606044889452,30
1020,1985,20.63349384795892,-53.128406235159424,30
1020,1985,20.51110738084592,-55.3526748523288,30
1020,1985,20.392752170184764,-58.04524988555059,30
1020,1985,20.261793080863782,-61.20481823815398,30
1020,1985,20.346161360690274,-64.63879416680255,30
1020,1985,20.302001929261028,-67.96418022572014,30
1020,1985,19.99562124113577,-71.63240839379192,30
1020,1985,19.84229090842793,-74.27987266625357,30
1020,1985,19.495463216014898,-77.105199534103,30
1020,1985,19.204015256766738,-80.17320161111478,30
1020,1985,19.19803950458822,-83.14619272018332,30
1020,1985,19.327596440790003,-85.8288871650838,30
1020,1985,19.629236305452565,-88.7122599969724,30
1020,1985,20.3034055949568,-91.06312565897647,30
1020,1985,20.998800739036724,-92.95204363016836,30
1020,1985,21.68910656367377,-94.43967796706562,30
1020,1985,22.63490526156687,-96.8947939200166,30
1020,1985,23.48270939009452,-98.68902953589588,30
1020,1985,24.286890240964016,-100.22562199366224,30
1020,1985,24.907926349578663,-100.94127868695958,30
1020,1985,25.48510340762123,-101.48238395268862,30
1020,1985,26.515165504296554,-101.87713275349267,30
1020,1985,27.53059729016823,-101.81504875749523,30
1020,1985,28.685856872601573,-101.3346933936185,30
1020,1985,29.86133114564735,-100.57312402164858,30
1020,1985,30.49059572778732,-100.06002779491408,30
1020,1985,31.628782118517897,-99.58104165708708,30
1020,1985,32.69993103533121,-99.700233410773,30
1020,1985,33.81224218108784,-99.93036599134838,30
1020,1985,34.51598371546432,-99.90266576902152,30
1020,1985,35.10854490200043,-99.6103166798077,30
1020,1985,35.63404491223582,-99.0223440261432,30
1020,1985,36.19706513706255,-98.5078630258893,30
1020,1985,37.03357102250067,-97.85079023491043,30
1020,1985,38.102885129974894,-97.48050327286973,30
1020,1985,39.24273551908762,-96.90114691614416,30
1020,1985,39.935023460414826,-95.93314148482212,30
1020,1985,40.85829786080797,-95.1207598276428,30
1020,1985,41.71730338229271,-94.6550382790442,30
1020,1985,42.87335477041414,-93.89827583864913,30
1020,1985,43.669527295796,-93.41121693914184,30
1020,1985,44.492030340226194,-92.6736203895956,30
1020,1985,45.04816271800189,-92.3140017507442,30
1020,1985,46.225186224162336,-91.791231889132,30
1020,1985,47.18689370990784,-91.36766425781596,30
1020,1985,48.0885796715626,-90.6996598372722,30
1020,1985,49.05661764363868,-90.30264086490835,30
1020,1985,49.81239278083601,-90.10275156187728,30
1020,1985,50.65265015582581,-89.90958543013342,30
1020,1985,51.61626612712885,-89.7920552472006,30
1020,1985,52.35553722512424,-89.92785203132775,30
1020,1985,53.458230340519655,-89.83415860774383,30
1020,1985,54.48437983141937,-89.5632491703939,30
1020,1985,55.33409882479591,-89.23869057005759,30
1020,1985,56.218006511837935,-88.7273992154395,30
1020,1985,57.1648228949921,-88.49410248150606,30
1020,1985,58.36914142936855,-88.23507370449225,30
1020,1985,59.36512589051532,-87.84933121005157,30
1020,1985,60.11461311371513,-87.57700772333274,30
1020,1985,61.017948104993415,-87.52593532971123,30
1020,1985,61.68107701598508,-87.47136685669048,30
1020,1985,62.801977433265655,-87.48706343276706,30
1020,1985,63.82521810550984,-87.68137924862353,30
1020,1985,64.82745427394745,-87.89522336749087,30
1020,1985,65.66150494303585,-87.84597348987981,30
1020,1985,66.83983322095068,-88.00884383520899,30
1020,1985,67.87482796093562,-87.87672699781356,30
1020,1985,68.98939967010185,-87.76421284200299,30
1020,1985,70.06892737753978,-87.62911293257457,30
1020,1985,71.33585125414439,-87.57167204588704,30
1020,1985,72.0901251378827,-87.43878594358672,30
1020,1985,73.25089785254166,-86.9461931273083,30
1020,1985,73.67106443622994,-86.7891352450505,30
1020,1985,74.52615269150914,-86.47850340995387,30
1020,1985,75.50337936057785,-86.08651308693074,30
1020,1985,76.3841368438534,-85.5159474061293,30
1020,1985,77.35037607263837,-84.9947498232879,30
1020,1985,78.55708563051608,-84.56531298636075,30
1020,1985,79.53460477357362,-84.3815419694902,30
1020,1985,80.39228285394661,-84.30613802180511,30
1020,1985,81.10009989995812,-84.2347962680121,30
1020,1985,82.03162176674863,-84.14285032380079,30
1020,1985,82.81791606083269,-83.84232869234684,30
1020,1985,83.56399433566128,-83.35634984494187,30
1020,1985,84.4123886553152,-83.03003282982638,30
1020,1985,85.5705726457893,-82.78824151490153,30
1020,1985,86.43973784084989,-82.52748973615726,30
1020,1985,87.58761768252121,-82.40559979066467,30
1020,1985,88.55231749803892,-82.31145654181499,30
1020,1985,89.51830837218003,-81.99711250704415,30
1020,1985,90.30939014991888,-81.72777642718869,30
1020,1985,91.18581684862116,-81.45274092220173,30
1020,1985,92.37857738931962,-81.11892010023617,30
1020,1985,93.30642070279352,-80.89783871510518,30
1020,1985,94.2823261534638,-80.60282977824988,30
1020,1985,94.73268097260672,-80.56671144795209,30
1020,1985,95.59256888454917,-80.36922195079866,30
1020,1985,96.65164700637789,-80.35573345787806,30
1020,1985,97.7311175081892,-80.4501387484482,30
1020,1985,98.5897437080178,-80.53551516384607,30
1020,1985,99.75707223364172,-80.78161301468704,30
1020,1985,100.63772074761728,-80.95986939963329,30
1020,1985,101.3145463192567,-81.12674857184122,30
1020,1985,101.98847974569202,-81.26164489068923,30
1020,1985,103.04345666252944,-81.60201013024532,30
1020,1985,103.77995267024828,-81.9266850922669,30
1020,1985,104.7769218572369,-82.36191156473735,30
1020,1985,105.32390894987068,-82.65818303331291,30
1020,1985,105.81292906986296,-82.89712121900703,30
1020,1985,106.39068188551283,-83.27441968869763,30
1020,1985,106.91638223719548,-83.68338143986787,30
1020,1985,107.5935038781934,-84.11190755080898,30
1020,1985,108.41418817509997,-84.40840625867162,30
1020,1985,109.38538046759923,-84.61314293999808,30
1020,1985,110.45187215636068,-84.78374802467538,30
1020,1985,111.58390896910728,-84.91817413929118,30
1020,1985,112.61132086443826,-85.14067421558646,30
1020,1985,113.3950883871921,-85.2923436071619,30
1020,1985,114.53517079476306,-85.43368689868734,30
1020,1985,115.6055674663594,-85.5731172828402,30
1020,1985,116.532332927014,-85.8617689951361,30
1020,1985,117.78101489092604,-86.03337245959666,30
1020,1985,118.69766645625673,-86.02811952977977,30
1020,1985,119.75794979107684,-86.1448870642332,30
1020,1985,120.72617365144887,-86.28866124866032,30
1020,1985,121.94544727713227,-86.47301345510384,30
1020,1985,122.7456178625622,-86.51515437727016,30
1020,1985,123.39331396654546,-86.7060586731315,30
1020,1985,124.0971716767623,-87.02919814097459,30
1020,1985,125.13863945311996,-87.33335369791135,30
1020,1985,126.0994338578837,-87.62780988057273,30
1020,1985,126.84262229594285,-87.9520884186423,30
1020,1985,127.65019406916214,-88.15903659648309,30
1020,1985,128.40027048672818,-88.29050443962618,30
1020,1985,128.84294430218867,-88.39969253219412,30
1020,1985,129.7153414260612,-88.74797063858892,30
1020,1985,130.70061155170518,-89.11593510561643,30
1020,1985,131.45577987796534,-89.45932129009573,30
1020,1985,132.10556998833934,-89.80195612613468,30
1020,1985,132.89380655525378,-90.09571927069902,30
1020,1985,133.30214452197367,-90.2432602265062,30
1020,1985,134.03080867335328,-90.52548526415428,30
1020,1985,134.47786968797962,-90.77240681188012,30
1020,1985,135.21447873392293,-91.19044774148048,30
1020,1985,135.6712862254719,-91.4511496593454,30
1020,1985,136.01172239124585,-91.76527624949198,30
1020,1985,136.2782822219511,-92.17797707319184,30
1020,1985,136.31023353751672,-92.52273342327824,30
1020,1985,136.48724082090672,-92.87027277978736,30
1020,1985,136.84718084812474,-93.3848642674055,30
1020,1985,137.18993787547257,-93.7225161626946,30
1020,1985,137.6898067963073,-94.16355416566958,30
1020,1985,138.17787988703918,-94.5938339473176,30
1020,1985,138.75949308255954,-94.93268227417636,30
1020,1985,139.85186913604525,-95.23819021445765,30
1020,1985,140.72652442922077,-95.36294799684757,30
1020,1985,141.37242753079167,-95.46566458850194,30
1020,1985,142.36185306003588,-95.5745682383759,30
1020,1985,143.5447076547688,-95.6112409696396,30
1020,1985,144.8175203440113,-95.70474652766592,30
1020,1985,145.859688449676,-95.77704373366888,30
