utm_x_gps,utm_y_gps
1000.9344539341771,2000.1362876665144
1001.9236977226248,2000.057555844884
1002.9149672085916,1999.6206808589445
1003.6017851880334,1999.1478504351396
1004.288966472439,1998.3627028381654
1004.9084361997291,1997.494409243916
1005.628159637686,1996.6313422591668
1006.2108523007635,1995.7402683091345
1006.7310740068787,1994.6792242009194
1006.798312039751,1993.5106447641422
1007.0282827150892,1992.308980148106
1007.1899736924988,1991.620508660507
1007.5305263587999,1990.8879455829046
1007.9024177031439,1990.164374456274
1008.3243266525043,1989.605615294887
1009.0410939109129,1988.6375806901142
1009.5494048608937,1987.924943397416
1010.3341208595442,1986.8873771528029
1011.2655468591096,1986.0861587449467
1012.016500034075,1985.3553328268008
1012.5751152596541,1984.7386580037785
1013.0924609430225,1984.138290785195
1013.7601737950994,1983.1152789476716
1014.2470306241679,1982.3635179429598
1014.8612448215843,1981.81943813736
1015.5185635124227,1981.0902912827721
1015.9807929020695,1980.4523570817553
1016.8265275248112,1979.5730095006988
1017.8183098293239,1978.4840889040834
1018.4673439697434,1978.038443706074
1019.2321246938939,1977.3614493952166
1020.1415230885141,1976.8107026299772
1020.9123607164291,1976.431371066555
1021.8145213346186,1976.0110578267252
1022.725818134353,1975.227392260882
1023.6751308152894,1974.840086553578
1024.6183220909422,1974.5443471843603
1025.878469367322,1974.3119708423587
1027.1413122515485,1974.2406885509051
1028.1604643634168,1974.1469114747217
1028.946791844727,1974.0668826608496
1030.0445757480072,1973.779808506953
1030.8444002638498,1973.4522211313388
1031.5221585676252,1973.196883917942
1032.0793704597822,1972.8463029039722
1032.8751220154495,1972.382644109357
1034.1753999744558,1972.0319352254971
1035.0363881888363,1971.6475455912653
1036.1373255556607,1971.4670389607202
1037.1686336231935,1971.4346810249522
1038.0572180093413,1971.421492210644
1038.8940200756138,1971.4762235442995
1039.9522931698177,1971.527944804379
1040.6812855546277,1972.1020590972416
1041.3490289380284,1972.9261630555688
1042.0698442228943,1973.7471899764407
1042.3973730154735,1974.5938165613677
1042.7654478522593,1975.438821917045
1043.2959624392404,1976.635396735034
1043.5607834675304,1978.063079311812
1043.7365551720284,1979.1063076471385
1043.9745339944916,1980.0240164921374
1043.804949119626,1980.9126919319249
1043.6243048241083,1981.5406966324679
